	Company names
0	Polskie Gornictwo Naftowe i Gazownictwo SA  -  Polish Oil and Gas Company
1	"Niezależny Samorządny Związek Zawodowy ""Solidarność"""
2	Association des compagnies  d’assurances et de réassurances  du Grand-Duché de Luxembourg
3	"Сдружение ""Консултативен съвет за Черно море"""
4	Virgin Hyperloop
5	ISC Intelligence in  Science
6	"Lithuanian National Road Carriers' Association ""LINAVA"""
7	WeMove Europe SCE mbH 
8	Federturismo Confindustria -  Federazione Nazionale dei Viaggi e del Turismo
9	"Polski Związek Hodowców i Producentów Trzody Chlewnej ""POLSUS"""
10	Energiföretagen /  Swedenergy
11	Verein zur Förderung  der europäischen Sojaproduktion Donau Soja
12	Stowarzyszenie  Sygnał
13	The European Digital Payments Industry Alliance 
14	YARA  BELGIUM S.A.
15	European Signature Dialog  - Associated European Trust Centers
16	"SAS ""OPI Conseil"""
17	"""АСОЦИАЦИЯ НА БЪЛГАРСКИТЕ КИНОСАЛОНИ"""
18	"Polskie Linie Lotnicze ""LOT"" S.A."
19	"Izba Gospodarcza ""Wodociągi Polskie"""
20	Conseil International du Notariat Belge /Internationale Raad van het Belgisch Notariaat
21	"Център за междуетнически диалог и толерантност ""Амалипе"""
